turkish,english
"Paşaların zaten sevmediği aracımızın uğursuzluğuna, lanet getireceğine ilişkin söylentiler bu sırada daha da arttı; Hoca'nın yaptığı deneylere katılan yeniçerilerin dedikoduları da tuz biber ekiyordu buna.","It was then that the rumours increased about how our siege engine – which the pashas already hated – would bring misfortune, even a curse upon us; these were spiced with the whisperings of the janissaries who had participated in Hoja’s ‘experiments’."
"Acaba Türkiye'yi onlara tarafyapacak anlaşmalara imza atarak, hata mı etmekteyiz?""","I wonder if we are backing the wrong horse, signing these agreements that will make us their allies.” After a year of endless discussions—who would win the war?"
"Aradaki fark, Ani’nin hem iri memeleri, hem de çok güzel bir yüzü, çok etkileyici bakışları, ama daha önemlisi ‘kadın’ olmasında gizliydi.","The motive power had been Ani’s full breasts, her beautiful face and penetrating looks, and last but not least, her feminine charm."
"Halim evini, annesini, haddini bilsin. Siz-leri örnek alacağına, kendi imkanları içinde yaşasın. """,Halim should know what it is to have a home and a mother he can call his own and to live within his means.”
Sitare'ye şık bir pardösü alınmıştı. Sitare'ye omuzdan askılı bir çanta alınmıştı.,"Sitare’s family bought her a set of rollers, a clutch coat, and a purse that hung from a shoulder strap."
"Bir teklifim var, dedi.","""''ve got a suggestion."
"Daha çabuk, daha vahşi... Yukarıda Osman bir sandalyeye ilişti, Rabia’nın yüzüne daldı.",".. . Wilder and with greater and greater joy the slim fingers played on the tin tray, while... Upstairs Osman sat on a chair and watched Rabia."
"O kadın, o sevgili değildi belki ama, bir rüyaydı, beklenmedik bir rüyaydı işte.",She might not have been a sweetheart in the proper sense of the word; she was a symbol from a dream.
Akşam oldu mu pencerenin yanına otururdu.,As evening fell he sat before the window.
"On, on beş dakika geçti. Mülâzım Bekir’in beyaz atı göründü.","Ten, fifteen minutes passed; then from the valley the head of a white horse, that of Lieutenant Bekir, appeared."
"— Bana bir dilim kesiniz, dedim ve tabiî, kumandanları kesti.","“Just cut me a small slice.” I said, and of course the commander had to be the one to do that."
"""Hayrola!"" dedi.",“How do you mean!” he said.
"Gözünde bu kadar değersiz olan bir hayatın haksız yere gördüğü vefasızlıklarıyla birlikte yine bir kılını dünyaki her şeyden değerli bildiği sevgilisi adına, özellikle onun varlığını korumak uğruna feda edilmesini kendi için meydana gelmesi düşünülemeyecek kadar yüce bir mutluluk görmüştü.","worthless, though she had unjustly been treated disloyally, in her eyes sacrificing herself for her lover whom she saw more important than the whole world was a supreme happiness."
Çünkü bu kalabalığın gündüz ışığında bile insanı ürperten bir manzarası vardı.,The crowded rockscape made him shudder even in broad daylight.
"Ooh, aman çok iyi geldi, içimi ısıttı, gözlerimi keskinleştirdi, zihnimi açtı ve bakın aklıma ne geldi.","Ah, yes, that hit the spot, it’s warmed me up, sharpened my sight and quickened my thoughts."
- Tabiî! dedi.,"“Of course I am,” she said."
"Uzaklaşan Aram'ın arkasından, ""Biliyor musun Armine, Aram bulunmaz bir arkadaş,"" demişti Sabahat.","As Aram walked off, Sabahat said, “You know, Armine, he really is the best friend a girl could have.”"
"O yemekte, böylesi yemeklerde hep olduğu gibi, biraz da bu yüzden, anılarımız, küçük pişmanlıklarımız ve daha önceki ölülerimizle de karşılaşmıştık.","During the said repast, just like in all such cases, partly because of this very fact, we were face-to-face with our recollections, petty remorse, and the memory of the deceased."
"Öğle yemeğinden sonra, Sitare yataktan çıkmasın diye Le-man elinde mecmualarla kızının yanına uzanmıştı ve resimlere bakarken içi geçivermişti ama ne mümkündü bu gürültüde uyumak! Kıyamet kopuyordu üst katta.","After lunch, Leman stretched out next to Sitare to ensure her daughter stayed in bed, and was looking at the illustrations in a stack of periodicals when she drifted off to sleep. But who could nap in peace with that racket upstairs?"
Bir pavyonda çalıştığı yolunda haberler ulaşmıştı sonra o sokağa.,News came one day that she was working at a nightclub.
"""Onu senin öldürmüş olmandan şüpheleniyoruz,"" dedi Kara.","“We suspect that you were the one who killed him,” Black said."
Bu ümitsizlik içindeki adam bizi yokuşa kadar çıkaracak.,This man overcome with despair will accompany us as far as the hill.
"""Şeküre'nin babasının kitabı ne?""",“What is this book of Shekure’s father?”
Ben dayınızı birkaç defa gördüm!,I’ve seen your uncle a number of times!”
Ama bu ayrıcalığım da bana pahalıya patladı.,But this privilege cost me dear.
"Eğer fiyatının birkaç misli artacağını bilmeseydim, derhal üstüne atılır, eski bir dost gibi kucaklardım.","If I had known its future price would be even more than the handsome figure I’ve already quoted, I would have seized it instantly and embraced it like a long-lost friend."
Ayağa kalktı.,She stood up.
Birkaç gün evvel Nuran Mümtaz’a ilk kırlangıç kafilesinin başları üstünden geçtiğini göstermişti.,"A few days beforehand, Nuran had pointed out an early flock of swallows passing south overhead."
"Bilhassa o gece ihtiyar musikişinasın Nuran’ın dayısından, “Bu işleri bizim kadar bilir, fakat tiryaki meşreptir.","Particularly the way the elderly music aficionado had piqued his curiosity that night by referring to Nuran’s uncle: “He knows this repertoire as well as we do, but he’s a creature of habit."
Yakında öleceğini bilen ve kaderden kaçabilmek için bütün dünyayı dolaşmaya kalkan bir adamın hikayesiydi bu.,"She told them the story ofa man who decided to travel the entire globe round and round, in an endeavor to escape his mortality."
"Asya arkasına yaslanıp sigara dumanını üfledikten sonra sazı eline aldı: ""Toplu histeri ne, biliyor musun?","Running a hand through her hair, Asya slouched back in her chair, puffed some smoke, and said, ""Let me tell you what hysteria is."
Neydi adı...,What was his name? ...
"Onuncu Maddeci unutacak kadar alıştığın bir arkadaş bulsan dahi, hayatın başka başka alanlarında seni hezimete uğratabileceği gerçeğini asla gözden kaçırma.","Article Eleven: Even if you have found a dear friend whom you have gotten so accustomed to as to forget Article Ten, never overlook the fact that she can still give you a drubbing in other spheres of life."
"Aşureleri süsleriz, sonra da alışverişe çıkarız.""","We'll all finish decorating the ashure and then go shopping,"""
"O adam, onun hayatından geçen sayısız adamdan biriydi.","In fact, he was one of the many partners she had had."
"Elinde sahaflardan satın aldığı bir yazma, peşimden ayrılmıyor, muttasıl bana bu sanatın sırrını soruyordu.","The man never left my side, and, forever clutching a manuscript he’d purchased from the secondhand book market, he pestered me tirelessly with questions about the secrets of the art."
"Bunun kanıtı çoğunun atın dış çizgilerini çizmeye toynağının ucundan başlamasıdır.""","As proof, let me remind you that most of them begin drawing the outline of the horse from the tip of one of its hooves.”"
Bana Beynelmilel Mimarlar Cemiyeti’nin fahrî azalığını temin eden bu bina ile başlangıçta hiç meşgul değildim.,"It was this edifice that led to my election as honorary member to the International Society of Architects, but in the beginning I had very little to do with it."
"Bir gözüm sürekli dışarıc oluyor.""","At the same time, I manage to keep an eye on what’s going on.”"
"Kötü olan şey yaşlanmak, çirkinleşmek, hatta kocasız ve yok kalmak değil, hayatta kimsenin sizi kıskanmaması, diye düşündüm.","It wasn’t aging, losing one’s beauty or even being bereft of husband and money that was the worst of all calamities, what was truly horrible was not having anyone to be jealous of you."
"Tamam, dedi.","""That's right,"" said Haji."
"Bazı duyguların, hayatların ‘gereğince’ anlaşılmaları, belirli bir yere oturtulabilmeleri içinse, ‘yine’ sabırla beklemek gerekiyordu hiç kuşku yok ki.",It goes without saying that patience was required in order to be able to properly understand their sentiments and lifestyle choices once seen in their proper places.
Odanın bir yerlerinde Rose acıyla inledi.,Somewhere in the room Rose wailed in pain.
- Nasıl cinayetle mi?.. İhsan bütün neşesini kaybetmişti.,"“How, through murder?” İhsan’s mood had soured."
Ne yapacaksın benim partallarımı?,What will you do with my old rags?
"Uygun adım vaziyette girdiler misafirlerle dolu, cesedin durduğu odaya.","In harmonized steps, they entered the room full of guests, the room where the body was."
"Toplantı, son gelen raporların da okunması, değerlendirilmesi ve inönü'ye sunulur hale getirilmesi yüzünden uzadı.","There was another long meeting, with more reports to be read, assessed, and put together before they could be presented to Inönü."
Bunlar hep alışılan şeylerdi ve Tevfik Beyin anlattığı meddah hikâyesi bütün bu küçük huysuzlukların üstünden aşıyordu.,These were reactions they’d long been accustomed to; the coffeehouse storyteller’s yarn that Tevfik spun persisted through her moody interruptions.
"Jülyet’in annesi, birbirleriyle kavgalı kardeşlerinin bu ziyafetin konukları arasında yer aldıklarını bildiğinden, başlangıçta, ‘hazırlıkların’ yaşandığı günlerde, özellikle de sinagogdan çıkışta bir hayli tedirginmiş.","Juliet’s mother, who was aware that her feuding brothers would be among the guests, was flustered at first during the days that preceded, and especially so during the exit from the synagogue."
"""Aaaa!""",“No!”
"""Yetmiş yıl evvelini dahi bugün gibi hatırlıyorum. """,“I can remember the events of seventy years ago as though they happened yesterday.”
Bu anlarda Nuran etrafındaki her şeyi tamsa bile kendisini tanıyamazdı.,"During such times, were Nuran to even recognize her surroundings, she wouldn’t have recognized her self."
"O kadar memurca ve resmî bir ifadesi vardı ki, istiklâl hareketine yakınlık gösterebileceğine aklım yatmıyordu.",He looked so very much an official that I could hardly believe he cold have had any sympathy with a revolutionary movement.
"""Biz Âdemoğulları, vicdanımız ve aklımızla bir şeyin çirkin ve yanlış olduğunu bilmemize rağmen o şeyden çok zevk de alabiliriz,"" diye ekledim.","I added, “Despite knowing how ugly and wrong something is, we descendants of Adam might still derive considerable pleasure from it."
"Bak kadınım, dedi, okuyayım da iyi dinle.","""look, woman, I'll read it to you, so listen well."
"Sorun bu savaşımın, inandırıcı bulunup bulunmamasındaydı.",The gist of the matter lay in whether this struggle carried conviction or not.
Bu armağanın değerini o günlerde elbette bilemezdim.,One should not expect me to appreciate the value of this gift at the time.
